-6,-15.172,-2
-5.9,-1.9027,-3.38
-5.8,10.709,-4.72
-5.7,3.1373,-6.02
-5.6,-26.576,-7.28
-5.5,-22.705,-8.5
-5.4,-18.948,-9.68
-5.3,19.588,-10.82
-5.2,-7.9638,-11.92
-5.1,-39.048,-12.98
-5,-35.566,-14
-4.9,-1.0542,-14.98
-4.8,-4.6025,-15.92
-4.7,-14.34,-16.82
-4.6,1.2093,-17.68
-4.5,2.7544,-18.5
-4.4,-10.303,-19.28
-4.3,-45.007,-20.02
-4.2,-25.626,-20.72
-4.1,-20.512,-21.38
-4,-36.485,-22
-3.9,15.874,-22.58
-3.8,-26.834,-23.12
-3.7,-37.021,-23.62
-3.6,-35.591,-24.08
-3.5,6.8525,-24.5
-3.4,-40.955,-24.88
-3.3,-44.662,-25.22
-3.2,-44.617,-25.52
-3.1,-30.523,-25.78
-3,1.8743,-26
-2.9,17.422,-26.18
-2.8,-40.986,-26.32
-2.7,-42.222,-26.42
-2.6,-54.974,-26.48
-2.5,0.52853,-26.5
-2.4,0.53705,-26.48
-2.3,-13.908,-26.42
-2.2,-38.601,-26.32
-2.1,-26.409,-26.18
-2,-28.757,-26
-1.9,-17.1,-25.78
-1.8,5.6267,-25.52
-1.7,-27.501,-25.22
-1.6,-33.266,-24.88
-1.5,-51.71,-24.5
-1.4,-22.586,-24.08
-1.3,-49.867,-23.62
-1.2,-41.483,-23.12
-1.1,4.2497,-22.58
-1,-41.6,-22
-0.9,-49.786,-21.38
-0.8,-18.773,-20.72
-0.7,-26.237,-20.02
-0.6,-24.039,-19.28
-0.5,-7.3539,-18.5
-0.4,-28.047,-17.68
-0.3,-46.52,-16.82
-0.2,-32.601,-15.92
-0.1,-15.991,-14.98
0,-37.65,-14
0.1,27.337,-12.98
0.2,-24.87,-11.92
0.3,6.9508,-10.82
0.4,-16.716,-9.68
0.5,-5.5552,-8.5
0.6,-8.1516,-7.28
0.7,6.0871,-6.02
0.8,-21.768,-4.72
0.9,25.304,-3.38
1,3.6566,-2
1.1,-19.75,-0.58
1.2,-8.5183,0.88
1.3,11.946,2.38
1.4,-2.0522,3.92
1.5,22.612,5.5
1.6,7.0071,7.12
1.7,-31.881,8.78
1.8,-18.205,10.48
1.9,-11.128,12.22
2,12.748,14
2.1,65.285,15.82
2.2,34.493,17.68
2.3,53.059,19.58
2.4,9.5319,21.52
2.5,22.275,23.5
2.6,27.538,25.52
2.7,32.673,27.58
2.8,25.807,29.68
2.9,15.376,31.82
3,45.069,34
3.1,48.173,36.22
3.2,46.729,38.48
3.3,25.407,40.78
3.4,37.163,43.12
3.5,77.261,45.5
3.6,36.153,47.92
3.7,50.63,50.38
3.8,38.275,52.88
3.9,72.687,55.42
4,10.249,58
4.1,55.041,60.62
4.2,78.617,63.28
4.3,51.799,65.98
4.4,104.62,68.72
4.5,100.49,71.5
4.6,50.07,74.32
4.7,49.065,77.18
4.8,115.61,80.08
4.9,73.766,83.02
5,72.425,86
5.1,108.15,89.02
5.2,94.784,92.08
5.3,101.1,95.18
5.4,77.808,98.32
5.5,80.849,101.5
5.6,105,104.72
5.7,111.5,107.98
5.8,124.42,111.28
5.9,62.978,114.62
6,132.21,118
